id,name,longitude,latitude
KENE_001,(ပတိဋ္ဌာနမြို့) Paithan,75.38831235,19.4768533
KENE_002,(မာဟိဿတိမြို့) Maheshwar,75.58337325,22.17751955
KENE_003,(အရိကမေဒု) Arikamedu,79.8201226,11.9012163
KENE_004,၀နဝါသီတိုင်း,75.01599384,14.53382748
KENE_005,၀လဘိတက္ကသိုလ်,71.8760722,21.8969139
KENE_006,Abhayagiri Stupa (අභයගිරිය දාගැබ),80.3952811,8.3709388
KENE_007,Aduru စေတီ,81.95454548,16.47848745
KENE_008,Ajanta Caves,75.7032521,20.5518603
KENE_009,Andher စေတီ (၃) ဆူ,77.90705066,23.41072737
KENE_010,Areraj အသောကကျောက်တိုင်,84.6475889,26.5502361
KENE_011,Aunrihar (မစ္ဆိကာသဏ္ဍ),83.1839061,25.5416862
KENE_012,Avukana ရုပ်ပွား,80.5127773,8.0108714
KENE_013,Bairath အသောကကျောက်စာ,76.1850736,27.4520316
KENE_014,Bavikonda စေတီ,83.3909582,17.8177175
KENE_015,Bedse Caves,73.5351111,18.7214361
KENE_016,Bhaja Caves,73.4815457,18.7283929
KENE_017,Bhattiprolu စေတီ,80.78051195,16.09927771
KENE_018,Bhita (သဟဇာတိမြို့),81.7866667,25.3063889
KENE_019,Bhojpur စေတီ (၃၀),77.83994341,23.43143099
KENE_020,Bihar State,86.97130556,25.26044147
KENE_021,Bojjanna Konda စေတီ,83.0160011,17.7103165
KENE_022,Budda Stupam စေတီ,80.7809097,16.0995051
KENE_023,Chandavaram စေတီ,79.4275361,15.9339889
KENE_024,Dhanam Bodu (Jaggayyapeta) စေတီ,80.1064823,16.8870057
KENE_025,Ellora Caves,75.1779975,20.025817
KENE_026,Fazilnagar [ပါဝါ],84.0528291,26.68439575
KENE_027,Gal Vihara (Rock Temple),81.0049479,7.9660522
KENE_028,Ganwaria ကျောင်းတိုက်,83.1211722,27.4423444
KENE_029,Gavimath အသောကကျောက်စာ,76.16226484,15.33727153
KENE_030,Ghantasala စေတီ,80.9488946,16.1696728
KENE_031,Giriyak Stupa,85.51315039,25.02510242
KENE_032,Girnar Asoka Edicts,70.4794621,21.5250813
KENE_033,Gotihawa စေတီ [ကကုသန်],83.01819867,27.52216165
KENE_034,Gudivada စေတီ,81.0031726,16.4321905
KENE_035,Gudiwada Dibba (ကျောင်းတိုက်),83.43271855,17.93935545
KENE_036,Gummadiduru စေတီ,80.3177049,16.8613827
KENE_037,Jaugada အသောကကျောက်စာ,84.8309075,19.5226836
KENE_038,Jetavanaramaya,80.4037871,8.3513167
KENE_039,Kalsi အသောကကျောက်စာ,77.8481716,30.5179529
KENE_040,Kanheri Caves,72.9068504,19.2058509
KENE_041,Karla Caves,73.4704426,18.7832762
KENE_042,Karla Caves,73.4704426,18.7832762
KENE_043,Ken မြစ်,79.96209485,24.89301595
KENE_044,Kodavali စေတီ,82.27367923,17.23969791
KENE_045,Lagham I အာရမစ်ကျောက်စာ,70.1834,34.5846
KENE_046,Lalitagiri ကျောင်းတိုက်ဟောင်း,86.2524001,20.5902553
KENE_047,Mahasthan အသောကကျောက်စာ [mRE],89.3428833,24.9606722
KENE_048,Maligawila ရုပ်ပွား,81.3523636,6.7283835
KENE_049,Mallepadu စေတီ (Paati Dibba),80.6381907,16.2240905
KENE_050,Mansehra အသောက ခရော့သျှဌီ,73.1666667,34.3333333
KENE_051,Mirisawetiya Stupa (မရိစ၀ဋ္ဋိစေတိ),80.3889742,8.3449317
KENE_052,Nelakondapally စေတီ,80.0683909,17.1118642
