ID,Grade Level,Title (Raw Strings),Title (Clean),Salary (Minimum),Salary (Increment),Salary (Maximum),Reference,Effective Date (YYYY-MM-DD)
MMR_CIVSRVT_0001,1,အမြဲတမ်းအတွင်းဝန်,အမြဲတမ်းအတွင်းဝန်," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0002,1,ညွှန်ကြားရေးမှူးချုပ် ,ညွှန်ကြားရေးမှူးချုပ် ," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0003,1,ညွှန်ကြားရေးမှူးချုပ်,ညွှန်ကြားရေးမှူးချုပ်," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0004,1,ဦးဆောင်ညွှန်ကြားရေးမှူး,ဦးဆောင်ညွှန်ကြားရေးမှူး," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0005,1,ရဲချုပ် (ဒုတိယရဲဗိုလ်ချုပ်ကြီး),ရဲချုပ် (ဒုတိယရဲဗိုလ်ချုပ်ကြီး)," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0006,1,သံအမတ်ကြီး,သံအမတ်ကြီး," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0007,1,ပါမောက္ခချုပ်,ပါမောက္ခချုပ်," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0008,1,ကျောင်းအုပ်ကြီး,ကျောင်းအုပ်ကြီး," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0009,1,ပျံသန်းရေးဌာနမှူးချုပ်,ပျံသန်းရေးဌာနမှူးချုပ်," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
MMR_CIVSRVT_0010,1,ဒု-ပျံသန်းရေးဌာနမှူးချုပ်,ဒုတိယပျံသန်းရေးဌာနမှူးချုပ်," 550,000 ",,, Announcement (2/2022) အမိန့်ကြော်ငြာစာအမှတ် (၂/၂၀၂၂) ,2022-09-22
