ID,Name,Type,Location (Village/Ward/Town/Road),Facebook URL,Data Source,Dataset Date
KLW_STAY_005,360 Kalaw Hotel,Hotel,#N/A,https://www.facebook.com/172319259786556/posts/1157653317919807/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_009,Dream Villa Hotel Kalaw,Hotel,#N/A,https://www.facebook.com/180224619307765/posts/843357572994463/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_091,Golden Kalaw Hotel,Hotel,နတ်စင်လမ်း၊ ကလော,https://www.facebook.com/profile.php?id=100069126697612,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_013,Green Haven Hotel Kalaw,Hotel,#N/A,https://www.facebook.com/225312570841663/posts/3384207874952101/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_011,Hill Top Villa Hotel Kalaw,Hotel,#N/A,https://www.facebook.com/900260226772349/posts/1922916647840030/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_019,Hinode Hotel Kalaw,Hotel,#N/A,https://www.facebook.com/HinodeHotelKalaw?mibextid=ZbWKwL ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_056,Hotel Amora Kalaw,Hotel,#N/A,https://www.facebook.com/profile.php?id=100088718111072 ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_014,Hotel Kingdom Kalaw,Hotel,#N/A,https://www.facebook.com/102186184572622/posts/467406501383920/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_002,Hotel Mya Yar Pin Kalaw,Hotel,#N/A,https://www.facebook.com/150776092259400/posts/860176797985989/ ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
KLW_STAY_018,Junction Rose Hotel Kalaw,Hotel,#N/A,https://m.facebook.com/story.php?story_fbid=431045785893631&id=100069646401044&mibextid=Nif5oz ,Data Collected by U Ko Ko Oo (https://www.facebook.com/profile.php?id=100005336809469),Prepared on 25 December 2022
