Movie ID,Movie Name,Movie Name CAP,Movei Year,Join Channel,Video Link,Video Review 01,Link to Other Channel,Count,Published Date (Timestamp),Clean ID,Text String
TELE_MOVIE_CHMYA_006,12 Hours,12 HOURS,2022,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/189,https://t.me/tvchannelp/179,,3,45153.43015,6,Name: 12 Hours# Year: 2022# Telegram Video Link: https://t.me/c/1968878324/189@
TELE_MOVIE_CHMYA_002,122,122,2019,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/253,https://t.me/tvchannelp/244,,3,45168.5897,8,Name: 122# Year: 2019# Telegram Video Link: https://t.me/c/1968878324/253@
TELE_MOVIE_CHMYA_008,127 Hours,127 HOURS,2010,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/375,https://t.me/tvchannelp/344,,3,45187.44647,9,Name: 127 Hours# Year: 2010# Telegram Video Link: https://t.me/c/1968878324/375@
TELE_MOVIE_CHMYA_009,13 Hours:The Secret Soldiers Of Benghazi,13 HOURS:THE SECRET SOLDIERS OF BENGHAZI,2016,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/247,https://t.me/tvchannelp/237,,3,45166.71108,10,Name: 13 Hours:The Secret Soldiers Of Benghazi# Year: 2016# Telegram Video Link: https://t.me/c/1968878324/247@
TELE_MOVIE_CHMYA_003,1922,1922,2017,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/93,https://t.me/tvchannelp/85,,3,45121.56251,12,Name: 1922# Year: 2017# Telegram Video Link: https://t.me/c/1968878324/93@
TELE_MOVIE_CHMYA_004,1944,1944,2015,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/544,https://t.me/tvchannelp/530,,3,45210.68448,13,Name: 1944# Year: 2015# Telegram Video Link: https://t.me/c/1968878324/544@
TELE_MOVIE_CHMYA_010,200: Halla Ho,200: HALLA HO,2021,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/184,https://t.me/tvchannelp/175,,3,45152.87726,14,Name: 200: Halla Ho# Year: 2021# Telegram Video Link: https://t.me/c/1968878324/184@
TELE_MOVIE_CHMYA_013,47 Ronin,47 RONIN,2013,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/349,https://t.me/tvchannelp/313,,3,45182.41103,18,Name: 47 Ronin# Year: 2013# Telegram Video Link: https://t.me/c/1968878324/349@
TELE_MOVIE_CHMYA_001,65,65,2023,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/84,https://t.me/tvchannelp/75,,3,45118.35475,19,Name: 65# Year: 2023# Telegram Video Link: https://t.me/c/1968878324/84@
TELE_MOVIE_CHMYA_014,A Christmas Carol,A CHRISTMAS CAROL,2009,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/157,https://t.me/tvchannelp/148,,3,45148.85926,20,Name: A Christmas Carol# Year: 2009# Telegram Video Link: https://t.me/c/1968878324/157@
TELE_MOVIE_CHMYA_015,A Dog Named Palma,A DOG NAMED PALMA,2021,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/482,https://t.me/tvchannelp/457,,3,45198.50661,21,Name: A Dog Named Palma# Year: 2021# Telegram Video Link: https://t.me/c/1968878324/482@
TELE_MOVIE_CHMYA_016,A Dog's Purpose,A DOG'S PURPOSE,2017,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/662,https://t.me/tvchannelp/629,,3,45221.71734,22,Name: A Dog's Purpose# Year: 2017# Telegram Video Link: https://t.me/c/1968878324/662@
TELE_MOVIE_CHMYA_432,The Frighteners,THE FRIGHTENERS,1996,,,,https://t.me/horrormmsub0/73,1,45208.45773,452,Name: The Frighteners# Year: 1996# Telegram Video Link: @
TELE_MOVIE_CHMYA_017,A Mirror Kill Magic,A MIRROR KILL MAGIC,2021,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/519,https://t.me/tvchannelp/505,,3,45203.75103,24,Name: A Mirror Kill Magic# Year: 2021# Telegram Video Link: https://t.me/c/1968878324/519@
TELE_MOVIE_CHMYA_018,A Writer's Odyssey,A WRITER'S ODYSSEY,2021,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/203,https://t.me/tvchannelp/192,,3,45157.80841,23,Name: A Writer's Odyssey# Year: 2021# Telegram Video Link: https://t.me/c/1968878324/203@
TELE_MOVIE_CHMYA_019,Aana,AANA,2021,https://t.me/+1zjmlrXtlWE4YWJlJoin,https://t.me/c/1968878324/236,https://t.me/tvchannelp/222,,3,45164.82007,25,Name: Aana# Year: 2021# Telegram Video Link: https://t.me/c/1968878324/236@
