id,area/battalion number,rank,name,township,area (local name),operation area,tactical area,battalion number,member,source
1,တပ်နယ်(၁),တပ်နယ်မှူး,ဗိုလ်မှူးစောစိုးနိုင်,#N/A,#N/A,#N/A,1,#N/A,#N/A,A.M.H#(Irony)
2,တပ်နယ်(၂),တပ်နယ်မှူး,ဒုဗိုလ်မှူးကြီးစောကြာအင်း,#N/A,#N/A,#N/A,2,#N/A,#N/A,A.M.H#(Irony)
3,တပ်နယ်(၃),တပ်နယ်မှူး,ဗိုလ်မှူးစောတင်ဝင်း,#N/A,#N/A,#N/A,3,#N/A,#N/A,A.M.H#(Irony)
4,တပ်နယ်(၄),တပ်နယ်မှူး,ဗိုလ်မှူးစောမုတ်သုန်,#N/A,#N/A,#N/A,4,#N/A,#N/A,A.M.H#(Irony)
5,တပ် (၁၀၁၁) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောစိုးနိုင်,လှိုင်းဘွဲ့,မြိုင်ကြီးငူဒေသ၊ တခွက်ဖိုး၊ ပန်တော်မှီ,လှိုင်းဘွဲမြို့နယ်၊ မြိုင်ကြီးငူဒေသတခွက်ဖိုး၊ ပန်တော်မှီ အခြေစိုက်,#N/A,1011,556,A.M.H#(Irony)
6,တပ် (၁၀၁၂) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးအောင်လင်း,လှိုင်းဘွဲ့,မြိုင်ကြီးငူဒေသ၊ ကမောလဲ,လှိုင်းဘွဲမြို့နယ်၊ မြိုင်ကြီးငူဒေသကမောလဲ အခြေစိုက်,#N/A,1012,556,A.M.H#(Irony)
7,တပ် (၁၀၁၃) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောလှကြိုင်,ဖာပွန်,ကတိုင်တိ,ဖာပွန်မြို့နယ်၊ ကတိုင်ထိ အခြေစိုက်,#N/A,1013,556,A.M.H#(Irony)
8,တပ် (၁၀၁၄) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးမောင်ချစ်,ဖာပွန်,အုန်းတော,ဖာပွန်မြို့၊ ကမမောင်းမြို့အုန်းတော အခြေစိုက်,#N/A,1014,556,A.M.H#(Irony)
9,တပ် (၁၀၁၅) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးဝင်းလှိုင်စိန်,လှိုင်းဘွဲ့,ပိုင်ကျုံမြို့၊ ထန်းတစ်ပင် ရာခိဘောင်,လှိုင်းဘွဲမြို့နယ်ပိုင်ကျုံမြို့ထန်းတပင်ရာခိဘောင် အခြေစိုက်,#N/A,1015,556,A.M.H#(Irony)
10,တပ် (၁၀၁၆) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစိုးစိုး,လှိုင်းဘွဲ့,ဒေါ်လန်း,လှိုင်းဘွဲမြို့နယ်၊ ဒေါ်လန်း အခြေစိုက်,#N/A,1016,556,A.M.H#(Irony)
11,တပ် (၁၀၁၇) တပ်ရင်း,တပ်ရင်းမှုး,ဗိုလ်မှူးစောဒီးဒီး,မြဝတီ,မဲပလဲ,မြဝတီမြို့နယ်မဲပလဲ အခြေစိုက်,#N/A,1017,556,A.M.H#(Irony)
12,တပ် (၁၀၁၈) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးခင်မောင်ဝင်း,မြဝတီ,ကျော့ခို,မြဝတီမြို့နယ်ကျော့ခို အခြေစိုက်,#N/A,1018,556,A.M.H#(Irony)
13,တပ် (၁၀၁၉) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးလိုက်သိန့်(သေဆုံး)ဗိုလ်မှူးစောတင်ဝင်းမှတာဝန်ယူထား,မြဝတီ,တောအုပ်,မြဝတီမြို့နယ်တောအုပ် အခြေစိုက်,#N/A,1019,556,A.M.H#(Irony)
14,တပ် (၁၀၂၀) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောဆန်းလင်း,မြဝတီ,ထီးဝါးကလေး,မြဝတီမြို့နယ်ထီးဝါးကလေး အခြေစိုက်,#N/A,1020,556,A.M.H#(Irony)
15,တပ် (၁၀၂၁) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောဘီလူး,ကြာအင်းဆိပ်ကြီး,ထီးဟူသံ,ကြာအင်းဆိပ်ကြီးမြို့နယ်ထီးဟူသံ အခြေစိုက်,#N/A,1021,556,A.M.H#(Irony)
16,တပ် (၁၀၂၂) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောမုတ်သုန်,မြဝတီ,မဲကနယ်,မြဝတီမြို့နယ်မဲကနယ် အခြေစိုက်,#N/A,1022,556,A.M.H#(Irony)
17,တပ် (၁၀၂၃) တပ်ရင်း,တပ်ရင်းမှူး,ဗိုလ်မှူးစောအဲ့ထူး,ကြာအင်းဆိပ်ကြီး,ကျိုက်ဒုံ,ကြာအင်းဆိပ်ကြီးမြို့နယ်ကျိုက်ဒုံ အခြေစိုက်,#N/A,1023,556,A.M.H#(Irony)
