sd_pcode,state_divi,d_pcode,district,ts_pcode,township,town_pcode,town,town_mmr4,longitude,latitude,level,air_bool,ctrl_tnla,ctrl_mndaa,ctrl_uwsa
MMR015,Shan (North),MMR015S002,Kokang Self-Administered Zone,MMR015022,Laukkaing,MMR015022701,Laukkaing,လောက်ကိုင်,23.69163,98.76408,District Capital,1,0,1,0
MMR015,Shan (North),MMR015D001,Lashio,MMR015002,Hseni,MMR015002701,Hseni,သိန္နီ,23.3072,97.9736,Main Town,1,0,1,0
MMR015,Shan (North),MMR015D001,Lashio,MMR015001,Lashio,MMR015001701,Lashio,လားရှိုး,22.95277,97.74747,District Capital,1,0,1,0
MMR015,Shan (North),MMR015D002,Muse,MMR015011,Kutkai,MMR015011701,Kutkai,ကွတ်ခိုင်,23.45921,97.94341,Main Town,1,1,0,0
MMR015,Shan (North),MMR015D002,Muse,MMR015010,Namhkan,MMR015010701,Namhkan,နမ့်ခမ်း,23.837,97.6818,Main Town,1,1,0,0
MMR015,Shan (North),MMR015D003,Kyaukme,MMR015014,Hsipaw,MMR015014701,Hsipaw,သီပေါ,22.61894,97.2981,Main Town,1,1,0,0
MMR015,Shan (North),MMR015S001,Pa Laung Self-Administered Zone,MMR015016,Namhsan,MMR015016701,Namhsan,နမ့်ဆန်,22.96407,97.16126,Main Town,1,1,0,0
MMR015,Shan (North),MMR015S001,Pa Laung Self-Administered Zone,MMR015019,Manton,MMR015019701,Manton,မန်တုံ,23.24647923,97.12221743,Main Town,1,1,0,0
MMR015,Shan (North),MMR015D003,Kyaukme,MMR015012,Kyaukme,MMR015012701,Kyaukme,ကျောက်မဲ,22.54172,97.03671,District Capital,1,1,0,0
MMR015,Shan (North),MMR015D003,Kyaukme,MMR015013,Nawnghkio,MMR015013701,Nawnghkio,နောင်ချို,22.33003,96.79895,Main Town,1,1,0,0
MMR015,Shan (North),MMR015D008,Mongmit,MMR015017,Mongmit,MMR015017701,Mongmit,မိုးမိတ်,23.11422,96.66999,District Capital,1,1,0,0
MMR010,Mandalay,MMR010D002,Pyinoolwin,MMR010011,Mogoke,MMR010011701,Mogoke,မိုးကုတ်,22.92139,96.5054,Main Town,1,1,0,0
MMR015,Shan (North),MMR015S002,Kokang Self-Administered Zone,MMR015022,Laukkaing,MMR015022702,Chinshwehaw,ချင်းရွှေဟော်,23.47557,98.82419,Other Town,0,0,1,0
MMR015,Shan (North),MMR015D006,Hopang,MMR015021,Hopang,MMR015021701,Hopang,ဟိုပန်,23.42544,98.75029,District Capital,0,0,1,1
MMR015,Shan (North),MMR015D001,Lashio,MMR015020,Kunlong,MMR015020701,Kunlong,ကွမ်းလုံ,23.41645472,98.65052624,Main Town,0,0,1,0
