ID,Model,Storage (GB),Price (MMK),Number of Paw San Rice Sack (24 Pyi),Region,Price Date,Data Source
1,iPhone 14 ,128,3454500,34.545,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
2,iPhone 14 ,256,3874500,38.745,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
3,iPhone 14 ,512,4819500,48.195,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
4,iPhone 14 Plus ,128,3979500,39.795,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
5,iPhone 14 Plus ,256,4399500,43.995,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
6,iPhone 14 Plus ,512,5344500,53.445,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
7,iPhone 14 Pro ,128,4399500,43.995,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
8,iPhone 14 Pro ,256,4819500,48.195,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
9,iPhone 14 Pro ,512,5764500,57.645,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
10,iPhone 14 Pro ,1024,6709500,67.095,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
11,iPhone 14 Pro Max ,128,4714500,47.145,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
12,iPhone 14 Pro Max ,256,5134500,51.345,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
13,iPhone 14 Pro Max ,512,6079500,60.795,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
14,iPhone 14 Pro Max ,1024,7024500,70.245,TH/A,2022-09-11,"Pyae Htoo Khant, https://www.facebook.com/PYAEHTOOKHANT/posts/pfbid0cKoS7azBANedM5EeYqKz9ETPnsePAZtidNSssFgc3VzqsGkPjj3KkpK2SDgn2S4ol"
